State,2015,2016,2017,2018,2019,2020,2021,2022,2023,Population
Johor,110002.221,116682.227,123561.327,130585.945,134225.938,128073.564,131242.981,142369.692,148204.766,1091988
Kedah,39549.581,41155.715,43066.583,44803.83,46841.199,46042.458,47505.068,50982.123,51782.054,655399.7
Kelantan,21407.736,22475.73,23501.175,24142.691,25479.178,25187.708,25781.895,26934.566,27647.952,545676
Melaka,36077.257,37712.736,40829.986,42375.671,43583.397,41030.449,41871.632,45579.035,46933.449,272974.4
Negeri Sembilan,40185.677,41771.246,43815.729,45694.04,48033.554,46336.101,47787.092,50939.264,51864.043,344915.1
Pahang,49449.712,50875.222,54591.139,56289.94,58434.372,54885.462,55440.104,61746.204,64941.717,495157.8
Pulau Pinang,78146.215,82493.279,86767.823,91234.235,94645.352,92690.682,99123.944,112281.052,115956.997,860341.1
Perak,63175.555,65958.409,69336.571,73030.81,75992.708,74263.987,76900.997,80426.886,82558.744,83258.1
Perlis,5352.875,5569.584,5694.648,5885.364,6151.334,5785.067,5866.65,6209.957,6343.178,534835.8
Selangor,268824.995,281838.865,302186.45,323215.439,345008.461,326805.3,344102.741,385158.798,406071.453,976234.8
Terengganu,31124.445,32133.081,33978.557,34838.208,36000.52,33994.032,35235.898,37353.84,38201.414,808384
Sabah,73776.128,77518.046,83793.257,85012.016,85641.69,77840.052,79000.069,82106.428,83196.915,1632878.6
Sarawak,121585.277,124512.946,130168.608,133009.823,136759.184,127556.288,131593.878,140698.831,142351.83,355788.6
Kuala Lumpur,180864.541,191640.985,206175.307,220358.974,233793.693,217447.043,219883.721,240517.538,249301.544,534866.1
Labuan,5999.225,6412.031,6789.806,7244.941,7623.268,7613.361,7649.669,7962.511,8115.199,22352.5
