State,2015,2016,2017,2018,2019,2020,2021,2022,2023,Population
Johor,0.10073574160155607,0.1068530304362319,0.1131526417872724,0.1195855128444635,0.12291887639790913,0.11728477236013582,0.12018720077510009,0.13037660853415972,0.1357201416132778,1091988.0
Kedah,0.06034421590366917,0.06279483344285937,0.06571040999866189,0.06836107798035307,0.07146966805141962,0.0702509598341287,0.07248259039483845,0.07778783389739118,0.079008357800591,655399.7
Kelantan,0.039231587975282034,0.04118878235436413,0.04306800189123216,0.044243637249943187,0.04669286902850776,0.046158724224631464,0.04724762496426451,0.04935999750767855,0.05066734105952983,545676.0
Melaka,0.132163517897649,0.13815484528952163,0.14957441430405194,0.15523679509873453,0.15966111474189518,0.15030877987093294,0.1533903252466165,0.16697182959281162,0.17193351830794387,272974.4
Negeri Sembilan,0.11650889450766291,0.12110587793923781,0.1270333742999364,0.13247909413070058,0.13926196330633248,0.13434059859948144,0.13854740485412206,0.1476863842725355,0.1503675629162075,344915.1
Pahang,0.09986657182821315,0.10274547225147217,0.11024998293473313,0.11368081044063126,0.11801161569099791,0.11084438536563496,0.11196451717008195,0.12470005319516324,0.1311535777079549,495157.8
Pulau Pinang,0.09083166548709576,0.09588438701812571,0.10085281640037888,0.10604425965468812,0.11000910220376546,0.10773713123783114,0.11521470263364147,0.13050759983453075,0.1347802598295025,860341.1
Perak,0.7587916971441817,0.7922161207137803,0.832790695439843,0.8771616215119008,0.9127365145253133,0.8919731173303257,0.923645831456639,0.9659947320440894,0.9916001446105545,83258.1
Perlis,0.010008445582737729,0.010413633492746745,0.010647469746789574,0.011004057693968877,0.01150135050795029,0.01081652911042978,0.010969067515674903,0.011610959849733319,0.011860047513648112,534835.8
Selangor,0.27536919909021884,0.28869987527590696,0.3095427964665877,0.3310837095747867,0.35340725509887577,0.33476096119499116,0.35247948649238886,0.3945350012107743,0.41595674831505697,976234.8
Terengganu,0.038502054716570346,0.03974977362243686,0.042032693620853455,0.04309611273850051,0.04453393436782519,0.04205183675085108,0.043588069531311856,0.046208039743488236,0.04725651917900403,808384.0
Sabah,0.04518163689572513,0.047473245102238465,0.051316280953158426,0.0520626677329227,0.05244828978712808,0.047670446535339486,0.04838085880971188,0.050283240897394325,0.050951071929046035,1632878.6
Sarawak,0.34173460588675414,0.3499632815666382,0.3658594120216331,0.373845095092985,0.3843832657932267,0.35851707446500536,0.36986535824925254,0.39545626532159833,0.40010227983695934,355788.6
Kuala Lumpur,0.3381491947236888,0.35829712333610225,0.38547088140377567,0.41198904548259835,0.4371069563017735,0.40654482121787117,0.41110049973254986,0.44967803717603344,0.46610085028757664,534866.1
Labuan,0.2683916787831339,0.28685968012526564,0.3037604742198859,0.3241221787272117,0.34104766804607983,0.34060445140364615,0.34222878872609325,0.35622462811766026,0.3630555418856951,22352.5
