state,year,index
Johor,2023,130.1172619047619
Kedah,2023,122.52916666666668
Kelantan,2023,124.79523809523808
Melaka,2023,123.30357142857144
Negeri Sembilan,2023,123.0559523809524
Pahang,2023,124.04107142857144
Perak,2023,123.58511904761905
Perlis,2023,122.95059523809525
Pulau Pinang,2023,126.45416666666668
Sabah,2023,122.43928571428572
Sarawak,2023,119.5047619047619
Selangor,2023,129.29404761904763
Terengganu,2023,124.3720238095238
W.P. Kuala Lumpur,2023,124.37619047619047
W.P. Labuan,2023,119.4654761904762
W.P. Putrajaya,2023,131.3529761904762
