,state,year,index
0,Johor,2023,1.301172619047619
1,Kedah,2023,1.225291666666667
2,Kelantan,2023,1.2479523809523807
3,Melaka,2023,1.2330357142857145
4,Negeri Sembilan,2023,1.2305595238095242
5,Pahang,2023,1.2404107142857144
6,Perak,2023,1.2358511904761904
7,Perlis,2023,1.2295059523809524
8,Pulau Pinang,2023,1.264541666666667
9,Sabah,2023,1.224392857142857
10,Sarawak,2023,1.1950476190476191
11,Selangor,2023,1.2929404761904764
12,Terengganu,2023,1.243720238095238
13,W.P. Kuala Lumpur,2023,1.2437619047619046
14,W.P. Labuan,2023,1.194654761904762
15,W.P. Putrajaya,2023,1.313529761904762
