,state,year,index
0,Johor,2010,0.9999583333333333
1,Johor,2011,1.0244285714285717
2,Johor,2012,1.0454880952380952
3,Johor,2013,1.0688214285714288
4,Johor,2014,1.106565476190476
5,Johor,2015,1.1504345238095235
6,Johor,2016,1.1900416666666667
7,Johor,2017,1.2225714285714289
8,Johor,2018,1.2254642857142857
9,Johor,2019,1.2319761904761906
10,Johor,2020,1.2269583333333334
11,Johor,2021,1.2408392857142856
12,Johor,2022,1.2699464285714284
13,Johor,2023,1.301172619047619
14,Johor,2024,1.3175714285714284
15,Kedah,2010,0.9999583333333333
16,Kedah,2011,1.0227261904761904
17,Kedah,2012,1.0368869047619047
18,Kedah,2013,1.055904761904762
19,Kedah,2014,1.0847916666666668
20,Kedah,2015,1.118428571428571
21,Kedah,2016,1.152178571428571
22,Kedah,2017,1.1788571428571428
23,Kedah,2018,1.1698690476190476
24,Kedah,2019,1.183190476190476
25,Kedah,2020,1.1764404761904763
26,Kedah,2021,1.1904880952380952
27,Kedah,2022,1.2115416666666667
28,Kedah,2023,1.225291666666667
29,Kedah,2024,1.2385089285714284
30,Kelantan,2010,1.000017857142857
31,Kelantan,2011,1.026452380952381
32,Kelantan,2012,1.0423630952380953
33,Kelantan,2013,1.0639761904761904
34,Kelantan,2014,1.095702380952381
35,Kelantan,2015,1.1325
36,Kelantan,2016,1.1661053571428572
37,Kelantan,2017,1.189327380952381
38,Kelantan,2018,1.1920964285714288
39,Kelantan,2019,1.2001011904761905
40,Kelantan,2020,1.1952738095238093
41,Kelantan,2021,1.2151607142857144
42,Kelantan,2022,1.2347738095238094
43,Kelantan,2023,1.2479523809523807
44,Kelantan,2024,1.257375
45,Melaka,2010,0.9999761904761904
46,Melaka,2011,1.0242202380952383
47,Melaka,2012,1.0403571428571428
48,Melaka,2013,1.0566488095238096
49,Melaka,2014,1.087297619047619
50,Melaka,2015,1.1218392857142858
51,Melaka,2016,1.1551547619047617
52,Melaka,2017,1.1845119047619048
53,Melaka,2018,1.1852202380952381
54,Melaka,2019,1.1880714285714284
